URL,Size (Bytes),Number of Outlinks,Content Type
https://www.foxnews.com/video/6362388248112,74949,37,text/html
https://www.foxnews.com/video/6326492080112,70724,32,text/html
https://www.foxnews.com/category/world/world-regions/europe,122834,324,text/html
https://www.foxnews.com/video/topics/shows/fox-news-night,307810,106,text/html
https://www.foxnews.com/world/israel-gives-palestinian-citizens-deadline-flee-gaza-troops-amass-border,243843,296,text/html
https://www.foxnews.com/us/china-us-race-unleash-killer-ai-robot-soldiers-military-power-hangs-balance-experts,243022,302,text/html
https://www.foxnews.com/video/topics/us/crime/homicide,281694,106,text/html
https://www.foxnews.com/video/topics/shows/hannity,321993,106,text/html
https://www.foxnews.com/video/topics/opinion,327207,106,text/html
https://www.foxnews.com/video/topics/faith-values,279840,106,text/html
https://www.foxnews.com/us/pennsylvania-fantasy-football-competition-fake-threats-violence-federal-foreign-investigation,230614,299,text/html
https://www.foxnews.com/video/6362138837112,72950,34,text/html
https://www.foxnews.com/world/idf-fighter-jets-struck-750-hamas-military-targets-overnight-northern-gaza-strip,236277,294,text/html
https://www.foxnews.com/category/politics/defense/recruitment,123054,324,text/html
https://www.foxnews.com/video/6361512162112,73673,37,text/html
https://www.foxnews.com/video/6362042556112,73050,35,text/html
https://www.foxnews.com/video/6362182297112,72445,36,text/html
https://www.foxnews.com/video/6353130514112,75267,38,text/html
https://www.foxnews.com/us/kentucky-couple-who-found-alleged-interstate-shooters-remains-says-turned-bounty-hunters,234770,299,text/html
https://www.foxnews.com/category/tech/topics/fbi,138864,356,text/html
https://www.foxnews.com/world/hamas-armed-wing-warns-start-killing-israeli-hostages-bombing-homes-warning,220343,290,text/html
https://www.foxnews.com/world/former-hamas-leader-khaled-meshaal-urges-muslims-globally-protest-israel-join-fight,225727,291,text/html
https://www.foxnews.com/video/topics/shows/outnumbered-overtime,334496,106,text/html
https://www.foxnews.com/video/topics/shows/outnumbered,334288,106,text/html
https://www.foxnews.com/video/topics/shows/ingraham-angle,317179,106,text/html
https://www.foxnews.com/us/marine-hot-water-after-memoir-reveals-sex-trysts-recruit,245841,299,text/html
https://www.foxnews.com/opinion/biden-admins-military-recruiting-and-retention-crisis-self-inflicted-wound-heres-how-reverse-course,295134,315,text/html
https://www.foxnews.com/media/military-experts-blame-bidens-dei-push-us-military-enters-2024-smallest-fighting-force-80-years,249505,295,text/html
https://www.foxnews.com/category/us/military/navy,122681,324,text/html
https://www.foxnews.com/world/us-military-weak-danger-not-being-able-defend-national-interests-study,299961,316,text/html
https://www.foxnews.com/us/navy-lowers-bar-enlist-again-amid-continued-recruiting-woes,242838,297,text/html
https://www.foxnews.com/opinion/free-college-promises-intensify-military-recruitment-crisis,293773,309,text/html
