URL,Size (Bytes),Number of Outlinks,Content Type
https://www.nytimes.com/video/magazine/100000006065275/dev-hynes-untitled-improvisation-1.html?playlistId=video/magazine,1503873,96,text/html
https://www.nytimes.com/video/magazine/100000006104848/the-making-of-the-maya-rudolph-cover.html?playlistId=video/magazine,1528584,96,text/html
https://www.nytimes.com/video/magazine/100000006430808/glenda-jackson-plays-king-lear-on-broadway.html?playlistId=video/magazine,1530742,96,text/html
https://www.nytimes.com/video/magazine/100000006349886/fox-news-trump-administration.html?playlistId=video/magazine,2432638,96,text/html
https://www.nytimes.com/video/t-magazine/100000009043955/house-tour-katherine-bernhardt.html?playlistId=video/t-magazine,1944445,96,text/html
https://www.nytimes.com/video/t-magazine/100000009091501/our-town.html?playlistId=video/t-magazine,1254970,96,text/html
https://www.nytimes.com/video/t-magazine/100000009117362/annette-bening.html?playlistId=video/t-magazine,1786188,96,text/html
https://www.nytimes.com/video/t-magazine/100000009153204/how-to-shave-your-eyebrows.html?playlistId=video/t-magazine,1221939,96,text/html
https://www.nytimes.com/video/t-magazine/entertainment/100000009168219/this-is-our-music.html?playlistId=video/t-magazine,1256108,96,text/html
https://www.nytimes.com/video/t-magazine/100000009199401/the-stage-is-ours.html?playlistId=video/t-magazine,1260518,96,text/html
https://www.nytimes.com/video/t-magazine/100000009198373/three-jewish-stage-luminaries-tell-t-a-joke.html?playlistId=video/t-magazine,1999927,96,text/html
https://www.nytimes.com/video/t-magazine/100000009201626/tater-tots-with-caviar.html?playlistId=video/t-magazine,1251731,96,text/html
https://www.nytimes.com/video/t-magazine/100000009201630/beef-tartare-with-celery-root-chips.html?playlistId=video/t-magazine,1250516,96,text/html
https://www.nytimes.com/video/t-magazine/100000009201642/grilled-cheese-wedges-with-tomato-jam.html?playlistId=video/t-magazine,1250144,96,text/html
https://www.nytimes.com/video/t-magazine/100000009309647/my-favorite-artwork-rick-owens.html?playlistId=video/t-magazine,1749667,96,text/html
https://www.nytimes.com/video/t-magazine/100000009298820/my-favorite-song-danielle-mckinney.html?playlistId=video/t-magazine,1786405,96,text/html
https://www.nytimes.com/video/t-magazine/100000009309856/how-to-eat-with-your-hands.html?playlistId=video/t-magazine,1184808,96,text/html
https://www.nytimes.com/video/t-magazine/100000009315350/house-tour-josh-brolin.html?playlistId=video/t-magazine,1946215,96,text/html
https://www.nytimes.com/video/t-magazine/100000009388568/tell-t-a-joke-megan-stalter.html?playlistId=video/t-magazine,1992793,96,text/html
https://www.nytimes.com/video/t-magazine/100000009388571/my-favorite-song-sky-lakota-lynch.html?playlistId=video/t-magazine,1787348,96,text/html
https://www.nytimes.com/video/t-magazine/100000009388574/my-favorite-artwork-jenny-holzer.html?playlistId=video/t-magazine,1750263,96,text/html
https://www.nytimes.com/video/t-magazine/100000009445924/how-to-make-stuffed-pasta-at-home.html?playlistId=video/t-magazine,1185297,96,text/html
https://www.nytimes.com/video/t-magazine/100000009445903/how-to-decorate-a-goth-cake.html?playlistId=video/t-magazine,1184310,96,text/html
https://www.nytimes.com/video/t-magazine/100000009520291/house-tour-roberto-gerosa.html?playlistId=video/t-magazine,1918286,96,text/html
https://www.nytimes.com/video/t-magazine/100000009537198/cherry-tomato-tart.html?playlistId=video/t-magazine,1185129,96,text/html
https://www.nytimes.com/video/t-magazine/100000009666985/jeremy-lees-greens-and-eggs.html?playlistId=video/t-magazine,1184706,96,text/html
https://www.nytimes.com/video/t-magazine/100000009681897/house-tour-espace-aygo.html?playlistId=video/t-magazine,1945457,96,text/html
https://www.nytimes.com/video/opinion/100000009022484/oasis.html?playlistId=video/op-docs,1277169,96,text/html
https://www.nytimes.com/video/opinion/100000009058355/neighbour-abdi.html?playlistId=video/op-docs,1280742,96,text/html
https://www.nytimes.com/video/opinion/100000009146081/madeleine.html?playlistId=video/op-docs,1280455,96,text/html
https://www.nytimes.com/video/opinion/100000009001808/ramboy.html?playlistId=video/op-docs,1323726,96,text/html
https://www.nytimes.com/video/opinion/100000009146242/island-in-between.html?playlistId=video/op-docs,1312124,96,text/html
https://www.nytimes.com/video/opinion/100000009184500/the-waiting.html?playlistId=video/op-docs,1325597,96,text/html
https://www.nytimes.com/video/opinion/100000009146267/red-ears.html?playlistId=video/op-docs,1280020,96,text/html
https://www.nytimes.com/video/opinion/100000009223668/visible-mending.html?playlistId=video/op-docs,1317098,96,text/html
https://www.nytimes.com/video/opinion/100000008672301/under-the-white-mask.html?playlistId=video/op-docs,1280218,96,text/html
https://www.nytimes.com/video/opinion/100000009269993/letter-to-san-zaw-htway.html?playlistId=video/op-docs,1280673,96,text/html
https://www.nytimes.com/video/opinion/100000009306424/to-become-a-lion.html?playlistId=video/op-docs,1283653,96,text/html
https://www.nytimes.com/video/opinion/100000009295563/two-by-louis-johnson.html?playlistId=video/op-docs,1310619,96,text/html
https://www.nytimes.com/video/opinion/100000009295564/roswell.html?playlistId=video/op-docs,1287242,96,text/html
https://www.nytimes.com/video/opinion/100000009295700/an-act-of-service.html?playlistId=video/op-docs,1289745,96,text/html
https://www.nytimes.com/video/opinion/100000009295691/everythings-fine-potatoes-in-line.html?playlistId=video/op-docs,1245187,96,text/html
https://www.nytimes.com/video/opinion/100000009295568/roaches-lullaby.html?playlistId=video/op-docs,1276312,96,text/html
https://www.nytimes.com/video/opinion/100000009295710/will-you-look-at-me.html?playlistId=video/op-docs,1245044,96,text/html
https://www.nytimes.com/video/opinion/100000009295567/ellis-island.html?playlistId=video/op-docs,1272763,96,text/html
https://www.nytimes.com/video/opinion/100000009295717/where-am-i-from.html?playlistId=video/op-docs,1276473,96,text/html
https://www.nytimes.com/video/opinion/100000009438727/contractions.html?playlistId=video/op-docs,1284638,96,text/html
https://www.nytimes.com/video/opinion/100000009382183/a-new-wave.html?playlistId=video/op-docs,1281806,96,text/html
https://www.nytimes.com/video/opinion/100000009513506/not-for-money-not-for-love-not-for-nothing.html?playlistId=video/op-docs,1282456,96,text/html
https://www.nytimes.com/video/opinion/100000009532365/to-live-in-a-wild-sea.html?playlistId=video/op-docs,1244765,96,text/html
https://www.nytimes.com/video/Most-Viewed,1440826,72,text/html
https://www.nytimes.com/video/2020-Elections,1801177,96,text/html
https://www.nytimes.com/video/hk-protest,1702869,96,text/html
https://www.nytimes.com/video/latest-video,1752406,96,text/html
https://www.nytimes.com/video,463261,42,text/html
https://www.nytimes.com/video/opinion/100000009565908/biden-voters-dearborn-michigan.html?playlistId=video/opinion,3087322,96,text/html
https://www.nytimes.com/video/opinion/100000009576612/what-the-main-characters-at-the-rnc-say-about-the-party.html?playlistId=video/opinion,1562257,96,text/html
https://www.nytimes.com/video/us/100000007159353/george-floyd-arrest-death-video.html?playlistId=video/Most-Viewed,2017955,72,text/html
https://www.nytimes.com/video/us/politics/100000009255306/biden-black-voters-south-carolina.html?playlistId=video/2020-Elections,2331675,96,text/html
https://www.nytimes.com/video/world/asia/100000007927989/hong-kong-student-protest.html?playlistId=video/hk-protest,2654318,96,text/html
https://www.nytimes.com/video/us/100000009724125/hurricane-helene-florida.html?playlistId=video/latest-video,2591306,96,text/html
https://www.nytimes.com/video/nyregion/100000009711230/nyc-subway-shooting-bodycam.html?playlistId=video/latest-video,2638786,96,text/html
https://www.nytimes.com/video/us/politics/100000009710755/how-trump-tried-to-prosecute-his-rivals.html?playlistId=video/latest-video,1782836,96,text/html
https://www.nytimes.com/video/us/elections/100000009710303/who-are-the-black-swing-voters.html?playlistId=video/latest-video,1784094,96,text/html
https://www.nytimes.com/video/world/middleeast/100000009711694/gaza-shelter-israel-strike.html?playlistId=video/latest-video,2731982,96,text/html
https://www.nytimes.com/video/world/middleeast/100000009711905/israel-hezbollah-beirut-lebanon.html?playlistId=video/latest-video,2732287,96,text/html
https://www.nytimes.com/video/world/middleeast/100000009712398/hezbollah-israel-attacks-middle-east.html?playlistId=video/latest-video,2893645,96,text/html
https://www.nytimes.com/video/world/asia/100000009712948/japan-flood-landslide-noto.html?playlistId=video/latest-video,2565587,96,text/html
https://www.nytimes.com/video/world/middleeast/100000009713381/israel-strikes-lebanon-latest-.html?playlistId=video/latest-video,2893130,96,text/html
https://www.nytimes.com/video/us/100000009714444/massachusetts-bull-escape.html?playlistId=video/latest-video,2711925,96,text/html
https://www.nytimes.com/video/climate/100000009714805/california-exxon-mobile-pollution-lawsuit.html?playlistId=video/latest-video,2800854,96,text/html
https://www.nytimes.com/video/world/middleeast/100000009714893/lebanon-israel-airstrikes-displaced.html?playlistId=video/latest-video,2892730,96,text/html
https://www.nytimes.com/video/us/politics/100000009707038/kamala-harris-talks-about-joy-but-are-undecided-voters-feeling-it.html?playlistId=video/latest-video,2456559,96,text/html
https://www.nytimes.com/video/world/100000009716554/guterres-united-nations.html?playlistId=video/latest-video,2897819,96,text/html
https://www.nytimes.com/video/world/middleeast/100000009717000/biden-cease-fire-un-speech.html?playlistId=video/latest-video,2758165,96,text/html
https://www.nytimes.com/video/us/100000009718548/train-chemical-leak-ohio-styrene.html?playlistId=video/latest-video,2365548,96,text/html
https://www.nytimes.com/video/world/europe/100000009701067/france-rape-trial-renews-push-to-revise-legal-definition-of-rape.html?playlistId=video/latest-video,2457925,96,text/html
https://www.nytimes.com/video/us/politics/100000009714402/trump-harris-democracy.html?playlistId=video/latest-video,2456496,96,text/html
https://www.nytimes.com/video/us/100000009719308/los-angeles-bus-hijack.html?playlistId=video/latest-video,2769559,96,text/html
https://www.nytimes.com/video/us/100000009720158/hurricane-helene.html?playlistId=video/latest-video,2590874,96,text/html
https://www.nytimes.com/video/nyregion/100000009721164/mayor-eric-adams-vows-to-fight-federal-indictment-against-him.html?playlistId=video/latest-video,2640309,96,text/html
https://www.nytimes.com/video/world/europe/100000009721098/zelensky-unga-russia-ukraine.html?playlistId=video/latest-video,2695212,96,text/html
https://www.nytimes.com/video/nyregion/100000009722866/adams-bribery-fraud-federal-charges-turkey.html?playlistId=video/latest-video,2640343,96,text/html
https://www.nytimes.com/video/us/politics/100000009723719/biden-ukraine-package.html?playlistId=video/latest-video,2695485,96,text/html
https://www.nytimes.com/video/world/asia/100000006679951/hong-kong-protests.html?playlistId=video/hk-protest,1781990,96,text/html
https://www.nytimes.com/video/world/asia/100000006687546/china-military-hong-kong.html?playlistId=video/hk-protest,1754505,96,text/html
https://www.nytimes.com/video/world/asia/100000006689840/hong-kong-activists.html?playlistId=video/hk-protest,1780815,96,text/html
https://www.nytimes.com/video/world/asia/100000006691745/hong-kong-protest.html?playlistId=video/hk-protest,1757628,96,text/html
https://www.nytimes.com/video/world/asia/100000006682566/shes-a-protester-hes-a-police-officer-in-hong-kong-spouses-spar-too.html?playlistId=video/hk-protest,3142690,96,text/html
https://www.nytimes.com/video/world/asia/100000006696918/extradition-bill-hong-kong.html?playlistId=video/hk-protest,1778317,96,text/html
https://www.nytimes.com/video/world/asia/100000006702862/hong-kong-protests-police-officers.html?playlistId=video/hk-protest,1787582,96,text/html
https://www.nytimes.com/video/world/asia/100000006745666/hong-kong-protest-china.html?playlistId=video/hk-protest,1757000,96,text/html
https://www.nytimes.com/video/world/asia/100000006745689/china-national-day-hong-kong-protests.html?playlistId=video/hk-protest,1780015,96,text/html
https://www.nytimes.com/video/world/asia/100000006745719/hong-kong-protester-shot.html?playlistId=video/hk-protest,1784039,96,text/html
https://www.nytimes.com/video/world/asia/100000006751868/hong-kong-mask-ban.html?playlistId=video/hk-protest,1780121,96,text/html
https://www.nytimes.com/video/sports/basketball/100000006755297/james-harden-china-apology.html?playlistId=video/hk-protest,3140451,96,text/html
https://www.nytimes.com/video/sports/basketball/100000006757507/adam-silver-china.html?playlistId=video/hk-protest,3098666,96,text/html
https://www.nytimes.com/video/world/asia/100000006754031/hong-kong-protesters.html?playlistId=video/hk-protest,1744316,96,text/html
https://www.nytimes.com/video/world/asia/100000006804020/hong-kong-protests-damage-office-of-chinas-state-run-news-agency.html?playlistId=video/hk-protest,3035395,96,text/html
https://www.nytimes.com/video/world/asia/100000006830253/hong-kong-protests.html?playlistId=video/hk-protest,1743150,96,text/html
